,name,price,mileage,drivetrain,mpg,fuel_type,transmission,engine,zipcode,oneowner,personal_use
0,2019 Cadillac Escalade Luxury,54891,35283, Four-wheel Drive ,14–21,Gasoline ,10-Speed Automatic,6.2L V8 16V GDI OHV,60173,3,3
1,2020 Nissan Armada SV,28803,66508, Four-wheel Drive ,13–18,Gasoline ,7-Speed Automatic,5.6L V8 32V GDI DOHC,77034,3,3
2,2017 Audi Q7 2.0T Premium,27500,75651, All-wheel Drive ,20–25,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,28031,0,1
3,2018 Ford F-150 XLT,36000,48800, Four-wheel Drive ,18–23,Gasoline ,10-Speed Automatic,5.0L V8 32V PDI DOHC,22191,0,0
4,1966 Ford Mustang ,45990,99759, – ,None,– ,3-Speed Manual,8,98409,3,3
5,2017 Chevrolet Corvette Grand Sport,79989,13727, Rear-wheel Drive ,16–25,Gasoline ,8-Speed Automatic,6.2L V8 16V GDI OHV,29673,3,3
6,2014 Hyundai Azera Limited,16992,68857, Front-wheel Drive ,19–29,Gasoline ,6-Speed Automatic,3.3L V6 24V GDI DOHC,15146,1,1
7,2021 Cadillac Escalade Premium Luxury,99950,26617, Four-wheel Drive ,14–19,Gasoline ,10-Speed Automatic with Overdrive,8 Cylinder Engine,65101,1,0
8,2020 Mercedes-Benz GLS 450 Base 4MATIC,73999,14167, All-wheel Drive ,19–23,Gasoline ,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,32771,1,1
9,2020 Toyota Tacoma SR5,34049,20335, Rear-wheel Drive ,20–23,Gasoline ,6-Speed Automatic,2.7L I4 16V MPFI DOHC,92647,1,1
10,2011 Toyota Highlander Limited,18699,95520, All-wheel Drive ,17–22,Gasoline ,5-Speed Automatic,3.5L V6 24V MPFI DOHC,80110,3,3
11,2019 Alfa Romeo Giulia Base,24995,22000, All-wheel Drive ,23–31,Gasoline ,8-SPEED A/T,4 Cylinder Engine,75042,3,3
12,2016 Toyota 4Runner Limited,29972,79468, Four-wheel Drive ,17–21,Gasoline ,AUTOMATIC,V6 Cylinder Engine 4.0L,46219,0,0
13,2021 Honda Odyssey EX-L,42951,10877, Front-wheel Drive ,19–28,Gasoline ,10-Speed Automatic,3.5L V6 24V GDI SOHC,45434,1,1
14,2016 Jaguar XJ XJ R-Sport,23891,94182, Rear-wheel Drive ,18–27,Gasoline ,8-Speed Automatic,3.0L V6 24V GDI DOHC Supercharged,77090,0,0
15,2020 Mercedes-Benz GLE 450 AWD 4MATIC,56989,42677, All-wheel Drive ,19–24,Gasoline ,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,98005,1,1
16,2017 Subaru Outback 2.5i Premium,18599,83836, All-wheel Drive ,25–32,Gasoline ,Automatic CVT,2.5L H4 16V MPFI DOHC,32822,0,0
17,2019 Jeep Grand Cherokee Limited,35988,34513, Four-wheel Drive ,18–25,Gasoline ,8-Speed Automatic,3.6L V6 24V MPFI DOHC,02360,1,1
18,2019 Subaru Crosstrek 2.0i Premium,28983,13768, All-wheel Drive ,27–33,Gasoline ,Automatic CVT,2.0L H4 16V GDI DOHC,77094,1,1
19,2017 Toyota RAV4 Hybrid Limited,31995,47211, AWD ,34–30,Hybrid ,Automatic CVT,2.5L I4 16V MPFI DOHC Hybrid,85260,0,0
20,2018 Jeep Compass Limited,24491,46188, Four-wheel Drive ,22–30,Gasoline ,9-Speed Automatic,2.4L I4 16V MPFI SOHC,32808,1,1
