,index,name,price,mileage,ex_color,in_color,drivetrain,mpg,fuel_type,transmission,engine
0,0,2019 Honda Accord Sport,27995,29192, White , Red , Front-wheel Drive ,29–35,Gasoline ,Automatic CVT,1.5L I4 16V GDI DOHC Turbo
1,1,2019 Tesla Model 3 Long Range,52458,56059, Gray , Black , All-wheel Drive ,120–112,Electric ,1-Speed Automatic,Electric
2,2,2020 Toyota Corolla LE,22115,15039, Barcelona Red Metallic , Black , Front-wheel Drive ,30–38,Gasoline ,Automatic CVT,1.8L I4 16V MPFI DOHC
3,3,2017 Volkswagen Golf Alltrack TSI S,19500,61754, Silk Blue Metallic , Titan Black , All-wheel Drive ,22–30,Gasoline ,6-Speed Automatic with Auto-Shift,1.8L I4 16V GDI DOHC Turbo
4,4,2020 Ford Edge SEL,34952,26577, Agate Black , Ebony , All-wheel Drive ,21–28,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
5,5,2020 Subaru Outback Premium,31367,12766, Crimson Red Pearl , Black , All-wheel Drive ,26–33,Gasoline ,Automatic CVT,2.5L H4 16V GDI DOHC
6,6,2020 Subaru Outback Premium,31887,14738, Ice Silver Metallic , Gray , All-wheel Drive ,26–33,Gasoline ,Automatic CVT,2.5L H4 16V GDI DOHC
7,7,2018 Jeep Wrangler Unlimited Sport,36277,68884, Mojito! Clearcoat , Black , Four-wheel Drive ,17–23,Gasoline ,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
8,8,2022 Chevrolet Corvette Stingray w/2LT,95000,1848, Red , Red , Rear-wheel Drive ,16–24,Gasoline Fuel ,8-Speed A/T,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel
9,9,2021 Mitsubishi Mirage ES,15165,19844, Mystic Black Metallic , Black , Front-wheel Drive ,None,Gasoline ,Automatic CVT,1.2L I3 12V MPFI DOHC
10,10,2019 Acura ILX Technology & A-Spec,24995,41045, Blue , Red , Front-wheel Drive ,24–34,Gasoline ,8-Speed Automatic with Auto-Shift,2.4L I4 16V GDI DOHC
11,11,2018 Ford Mustang EcoBoost Premium,21000,68603, White , – , Rear-wheel Drive ,20–28,Gasoline ,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo
12,12,2020 Kia Telluride S,37340,69625, Gravity Gray , Black , All-wheel Drive ,19–24,Gasoline ,8-Speed Automatic,3.8L V6 24V GDI DOHC
